"Step","visionary-plant-6 - step_crash","visionary-plant-6 - step_crash__MIN","visionary-plant-6 - step_crash__MAX"
"5983","0","0","0"
"5990","5","5","5"
"5997","1","1","1"
"6004","3","3","3"
"6011","0","0","0"
"6018","0","0","0"
"6025","1","1","1"
"6032","2","2","2"
"6039","3","3","3"
"6046","2","2","2"
"6053","1","1","1"
"6060","2","2","2"
"6067","6","6","6"
"6074","3","3","3"
"6081","2","2","2"
"6088","1","1","1"
"6095","0","0","0"
"6102","6","6","6"
"6109","0","0","0"
"6116","1","1","1"
"6123","0","0","0"
"6130","1","1","1"
"6137","2","2","2"
"6144","1","1","1"
"6151","1","1","1"
"6158","1","1","1"
"6165","2","2","2"
"6172","1","1","1"
"6179","3","3","3"
"6186","5","5","5"
"6193","1","1","1"
"6200","1","1","1"
"6207","0","0","0"
"6214","2","2","2"
"6221","1","1","1"
"6228","1","1","1"
"6235","0","0","0"
"6242","1","1","1"
"6249","1","1","1"
"6256","2","2","2"
"6263","3","3","3"
"6270","1","1","1"
"6277","2","2","2"
"6284","0","0","0"
"6291","3","3","3"
"6298","2","2","2"
"6305","1","1","1"
"6312","1","1","1"
"6319","2","2","2"
"6326","3","3","3"
"6333","0","0","0"
"6340","1","1","1"
"6347","5","5","5"
"6354","2","2","2"
"6361","1","1","1"
"6368","2","2","2"
"6375","1","1","1"
"6382","2","2","2"
"6389","1","1","1"
"6396","3","3","3"
"6403","0","0","0"
"6410","2","2","2"
"6417","0","0","0"
"6424","0","0","0"
"6431","0","0","0"
"6438","0","0","0"
"6445","0","0","0"
"6452","2","2","2"
"6459","1","1","1"
"6466","3","3","3"
"6473","3","3","3"
"6480","1","1","1"
"6487","0","0","0"
"6494","1","1","1"
"6501","0","0","0"
"6508","2","2","2"
"6515","1","1","1"
"6522","0","0","0"
"6529","1","1","1"
"6536","1","1","1"
"6543","0","0","0"
"6550","2","2","2"
"6557","0","0","0"
"6572","1","1","1"
"6579","1","1","1"
"6586","0","0","0"
"6593","1","1","1"
"6600","1","1","1"
"6607","1","1","1"
"6614","0","0","0"
