"Step","eager-universe-7 - Smallest CBF constraint(unfiltered)","eager-universe-7 - Smallest CBF constraint(unfiltered)__MIN","eager-universe-7 - Smallest CBF constraint(unfiltered)__MAX"
"727","-0.6020514965057373","-0.6020514965057373","-0.6020514965057373"
"729","-1.521681547164917","-1.521681547164917","-1.521681547164917"
"731","-1.7433220148086548","-1.7433220148086548","-1.7433220148086548"
"733","-0.45855051279067993","-0.45855051279067993","-0.45855051279067993"
"735","-0.8201761245727539","-0.8201761245727539","-0.8201761245727539"
"737","-0.5032243728637695","-0.5032243728637695","-0.5032243728637695"
"739","-0.8106048703193665","-0.8106048703193665","-0.8106048703193665"
"741","-1.1611034870147705","-1.1611034870147705","-1.1611034870147705"
"743","-1.1669366359710693","-1.1669366359710693","-1.1669366359710693"
"745","-0.9933310747146606","-0.9933310747146606","-0.9933310747146606"
"747","-1.4149302244186401","-1.4149302244186401","-1.4149302244186401"
"749","-1.1713755130767822","-1.1713755130767822","-1.1713755130767822"
"751","-0.5878509283065796","-0.5878509283065796","-0.5878509283065796"
"753","-1.6923891305923462","-1.6923891305923462","-1.6923891305923462"
"755","-1.0789815187454224","-1.0789815187454224","-1.0789815187454224"
"757","-0.9330813884735107","-0.9330813884735107","-0.9330813884735107"
"759","-0.8044993281364441","-0.8044993281364441","-0.8044993281364441"
"761","-0.9409252405166626","-0.9409252405166626","-0.9409252405166626"
"763","-1.002147912979126","-1.002147912979126","-1.002147912979126"
"765","-1.0372675657272339","-1.0372675657272339","-1.0372675657272339"
"767","-0.6984585523605347","-0.6984585523605347","-0.6984585523605347"
"769","-1.3657894134521484","-1.3657894134521484","-1.3657894134521484"
"771","-0.1465727686882019","-0.1465727686882019","-0.1465727686882019"
"773","-1.0302430391311646","-1.0302430391311646","-1.0302430391311646"
"775","-0.8017118573188782","-0.8017118573188782","-0.8017118573188782"
"777","-0.6224610209465027","-0.6224610209465027","-0.6224610209465027"
"779","-0.7425865530967712","-0.7425865530967712","-0.7425865530967712"
"781","-1.3239840269088745","-1.3239840269088745","-1.3239840269088745"
"783","-0.4251650869846344","-0.4251650869846344","-0.4251650869846344"
"785","-0.6438207626342773","-0.6438207626342773","-0.6438207626342773"
"787","-0.9836674928665161","-0.9836674928665161","-0.9836674928665161"
"789","-0.7175891399383545","-0.7175891399383545","-0.7175891399383545"
"791","-0.4629022777080536","-0.4629022777080536","-0.4629022777080536"
"793","-0.9438095092773438","-0.9438095092773438","-0.9438095092773438"
