"Step","eager-universe-7 - Smallest CBF value","eager-universe-7 - Smallest CBF value__MIN","eager-universe-7 - Smallest CBF value__MAX"
"1107","-0.21969535946846008","-0.21969535946846008","-0.21969535946846008"
"1111","-0.2490026354789734","-0.2490026354789734","-0.2490026354789734"
"1115","-0.23475676774978638","-0.23475676774978638","-0.23475676774978638"
"1117","-0.23614947497844696","-0.23614947497844696","-0.23614947497844696"
"1121","-0.18488475680351257","-0.18488475680351257","-0.18488475680351257"
"1123","-0.218277245759964","-0.218277245759964","-0.218277245759964"
"1125","-0.1807839721441269","-0.1807839721441269","-0.1807839721441269"
"1127","-0.183974951505661","-0.183974951505661","-0.183974951505661"
"1129","-0.23796746134757996","-0.23796746134757996","-0.23796746134757996"
"1137","-0.22950097918510437","-0.22950097918510437","-0.22950097918510437"
"1141","-0.21870075166225433","-0.21870075166225433","-0.21870075166225433"
"1143","-0.2589441239833832","-0.2589441239833832","-0.2589441239833832"
"1147","-0.2635252773761749","-0.2635252773761749","-0.2635252773761749"
"1149","-0.2733258605003357","-0.2733258605003357","-0.2733258605003357"
"1153","-0.2187463939189911","-0.2187463939189911","-0.2187463939189911"
"1155","-0.19537173211574554","-0.19537173211574554","-0.19537173211574554"
"1157","-0.2755052447319031","-0.2755052447319031","-0.2755052447319031"
"1159","-0.19774837791919708","-0.19774837791919708","-0.19774837791919708"
"1167","-0.16041299700737","-0.16041299700737","-0.16041299700737"
"1175","-0.21528035402297974","-0.21528035402297974","-0.21528035402297974"
"1177","-0.18911467492580414","-0.18911467492580414","-0.18911467492580414"
"1179","-0.24471020698547363","-0.24471020698547363","-0.24471020698547363"
"1183","-0.26259762048721313","-0.26259762048721313","-0.26259762048721313"
"1185","-0.337015300989151","-0.337015300989151","-0.337015300989151"
"1187","-0.21938522160053253","-0.21938522160053253","-0.21938522160053253"
"1189","-0.13523609936237335","-0.13523609936237335","-0.13523609936237335"
"1191","-0.21545349061489105","-0.21545349061489105","-0.21545349061489105"
"1193","-0.23563925921916962","-0.23563925921916962","-0.23563925921916962"
"1195","-0.14116762578487396","-0.14116762578487396","-0.14116762578487396"
"1197","-0.18541666865348816","-0.18541666865348816","-0.18541666865348816"
"1205","-0.13840846717357635","-0.13840846717357635","-0.13840846717357635"
"1207","-0.22271211445331573","-0.22271211445331573","-0.22271211445331573"
"1209","-0.22962947189807892","-0.22962947189807892","-0.22962947189807892"
"1211","-0.21455338597297668","-0.21455338597297668","-0.21455338597297668"
"1213","-0.20574906468391418","-0.20574906468391418","-0.20574906468391418"
"1215","-0.19992569088935852","-0.19992569088935852","-0.19992569088935852"
"1219","-0.25584450364112854","-0.25584450364112854","-0.25584450364112854"
"1221","-0.2682736814022064","-0.2682736814022064","-0.2682736814022064"
"1225","-0.1752840131521225","-0.1752840131521225","-0.1752840131521225"
"1229","-0.2614712715148926","-0.2614712715148926","-0.2614712715148926"
"1231","-0.23774263262748718","-0.23774263262748718","-0.23774263262748718"
"1233","-0.23444774746894836","-0.23444774746894836","-0.23444774746894836"
"1237","-0.1507095843553543","-0.1507095843553543","-0.1507095843553543"
"1241","-0.32838210463523865","-0.32838210463523865","-0.32838210463523865"
"1243","-0.10062463581562042","-0.10062463581562042","-0.10062463581562042"
"1245","-0.18971385061740875","-0.18971385061740875","-0.18971385061740875"
"1247","-0.2448875904083252","-0.2448875904083252","-0.2448875904083252"
"1249","-0.25914788246154785","-0.25914788246154785","-0.25914788246154785"
