"Step","eager-universe-7 - global_step","eager-universe-7 - global_step__MIN","eager-universe-7 - global_step__MAX"
"22874","2801664","2801664","2801664"
"22875","2801664","2801664","2801664"
"22876","2801664","2801664","2801664"
"22929","2801664","2801664","2801664"
"22930","2818048","2818048","2818048"
"22931","2818048","2818048","2818048"
"22932","2818048","2818048","2818048"
"23250","2818048","2818048","2818048"
"23251","2834432","2834432","2834432"
"23252","2834432","2834432","2834432"
"23253","2834432","2834432","2834432"
"23254","2834432","2834432","2834432"
"23255","2850816","2850816","2850816"
"23256","2850816","2850816","2850816"
"23257","2850816","2850816","2850816"
"23532","2850816","2850816","2850816"
"23533","2867200","2867200","2867200"
"23534","2867200","2867200","2867200"
"23535","2867200","2867200","2867200"
"23536","2867200","2867200","2867200"
"23537","2883584","2883584","2883584"
"23538","2883584","2883584","2883584"
"23539","2883584","2883584","2883584"
"23579","2883584","2883584","2883584"
"23580","2899968","2899968","2899968"
"23581","2899968","2899968","2899968"
"23582","2899968","2899968","2899968"
"23897","2899968","2899968","2899968"
"23898","2916352","2916352","2916352"
"23899","2916352","2916352","2916352"
"23900","2916352","2916352","2916352"
"23901","2916352","2916352","2916352"
"23902","2932736","2932736","2932736"
"23903","2932736","2932736","2932736"
"23904","2932736","2932736","2932736"
"24191","2932736","2932736","2932736"
"24192","2949120","2949120","2949120"
"24193","2949120","2949120","2949120"
"24194","2949120","2949120","2949120"
"24195","2949120","2949120","2949120"
"24196","2965504","2965504","2965504"
"24197","2965504","2965504","2965504"
"24198","2965504","2965504","2965504"
"24226","2965504","2965504","2965504"
"24227","2981888","2981888","2981888"
"24228","2981888","2981888","2981888"
"24229","2981888","2981888","2981888"
"24540","2981888","2981888","2981888"
"24541","2998272","2998272","2998272"
"24542","2998272","2998272","2998272"
"24543","2998272","2998272","2998272"
"24544","2998272","2998272","2998272"
"24545","3014656","3014656","3014656"
"24546","3014656","3014656","3014656"
"24547","3014656","3014656","3014656"
"24858","3014656","3014656","3014656"
"24859","3031040","3031040","3031040"
"24860","3031040","3031040","3031040"
"24861","3031040","3031040","3031040"
"24862","3031040","3031040","3031040"
"24863","3047424","3047424","3047424"
"24864","3047424","3047424","3047424"
"24865","3047424","3047424","3047424"
"24871","3047424","3047424","3047424"
"24872","3063808","3063808","3063808"
"24873","3063808","3063808","3063808"
"24874","3063808","3063808","3063808"
"25185","3063808","3063808","3063808"
"25186","3080192","3080192","3080192"
"25187","3080192","3080192","3080192"
"25188","3080192","3080192","3080192"
"25189","3080192","3080192","3080192"
"25190","3096576","3096576","3096576"
"25191","3096576","3096576","3096576"
"25192","3096576","3096576","3096576"
"25505","3096576","3096576","3096576"
"25506","3112960","3112960","3112960"
"25507","3112960","3112960","3112960"
"25508","3112960","3112960","3112960"
"25510","3112960","3112960","3112960"
"25511","3129344","3129344","3129344"
"25512","3129344","3129344","3129344"
"25513","3129344","3129344","3129344"
"25779","3129344","3129344","3129344"
"25780","3145728","3145728","3145728"
"25781","3145728","3145728","3145728"
"25782","3145728","3145728","3145728"
"25783","3145728","3145728","3145728"
"25784","3162112","3162112","3162112"
"25785","3162112","3162112","3162112"
"25786","3162112","3162112","3162112"
"25834","3162112","3162112","3162112"
"25835","3178496","3178496","3178496"
"25836","3178496","3178496","3178496"
"25837","3178496","3178496","3178496"
"26154","3178496","3178496","3178496"
"26155","3194880","3194880","3194880"
"26156","3194880","3194880","3194880"
"26157","3194880","3194880","3194880"
"26158","3194880","3194880","3194880"
"26159","3211264","3211264","3211264"
"26160","3211264","3211264","3211264"
"26161","3211264","3211264","3211264"
"26446","3211264","3211264","3211264"
"26447","3227648","3227648","3227648"
"26448","3227648","3227648","3227648"
"26449","3227648","3227648","3227648"
"26450","3227648","3227648","3227648"
"26451","3244032","3244032","3244032"
"26452","3244032","3244032","3244032"
"26453","3244032","3244032","3244032"
"26483","3244032","3244032","3244032"
"26484","3260416","3260416","3260416"
"26485","3260416","3260416","3260416"
"26486","3260416","3260416","3260416"
"26795","3260416","3260416","3260416"
"26796","3276800","3276800","3276800"
"26797","3276800","3276800","3276800"
"26798","3276800","3276800","3276800"
"26799","3276800","3276800","3276800"
"26800","3293184","3293184","3293184"
"26801","3293184","3293184","3293184"
"26802","3293184","3293184","3293184"
"27103","3293184","3293184","3293184"
"27104","3309568","3309568","3309568"
"27105","3309568","3309568","3309568"
"27106","3309568","3309568","3309568"
"27107","3309568","3309568","3309568"
"27108","3325952","3325952","3325952"
"27109","3325952","3325952","3325952"
"27110","3325952","3325952","3325952"
"27122","3325952","3325952","3325952"
"27123","3342336","3342336","3342336"
"27124","3342336","3342336","3342336"
"27125","3342336","3342336","3342336"
"27440","3342336","3342336","3342336"
"27441","3358720","3358720","3358720"
"27442","3358720","3358720","3358720"
"27443","3358720","3358720","3358720"
"27444","3358720","3358720","3358720"
"27445","3375104","3375104","3375104"
"27446","3375104","3375104","3375104"
"27447","3375104","3375104","3375104"
"27766","3375104","3375104","3375104"
"27767","3391488","3391488","3391488"
"27768","3391488","3391488","3391488"
"27769","3391488","3391488","3391488"
"27770","3391488","3391488","3391488"
"27771","3407872","3407872","3407872"
"27772","3407872","3407872","3407872"
"27773","3407872","3407872","3407872"
"28033","3407872","3407872","3407872"
"28034","3424256","3424256","3424256"
"28035","3424256","3424256","3424256"
"28036","3424256","3424256","3424256"
"28037","3424256","3424256","3424256"
"28038","3440640","3440640","3440640"
"28039","3440640","3440640","3440640"
"28040","3440640","3440640","3440640"
"28094","3440640","3440640","3440640"
"28095","3457024","3457024","3457024"
"28096","3457024","3457024","3457024"
"28097","3457024","3457024","3457024"
"28411","3457024","3457024","3457024"
"28412","3473408","3473408","3473408"
"28413","3473408","3473408","3473408"
"28414","3473408","3473408","3473408"
"28415","3473408","3473408","3473408"
"28416","3489792","3489792","3489792"
"28417","3489792","3489792","3489792"
"28418","3489792","3489792","3489792"
"28691","3489792","3489792","3489792"
"28692","3506176","3506176","3506176"
