"Step","still-disco-8 - Smallest CBF constraint(unfiltered)","still-disco-8 - Smallest CBF constraint(unfiltered)__MIN","still-disco-8 - Smallest CBF constraint(unfiltered)__MAX"
"709","-1.4209940433502197","-1.4209940433502197","-1.4209940433502197"
"711","-1.2991937398910522","-1.2991937398910522","-1.2991937398910522"
"715","-1.778853178024292","-1.778853178024292","-1.778853178024292"
"717","-2.042006254196167","-2.042006254196167","-2.042006254196167"
"723","-1.5298750400543213","-1.5298750400543213","-1.5298750400543213"
"725","-1.762374997138977","-1.762374997138977","-1.762374997138977"
"727","-1.7431493997573853","-1.7431493997573853","-1.7431493997573853"
"733","-1.912329912185669","-1.912329912185669","-1.912329912185669"
"741","-1.9939088821411133","-1.9939088821411133","-1.9939088821411133"
"743","-1.7362693548202515","-1.7362693548202515","-1.7362693548202515"
"745","-1.7861558198928833","-1.7861558198928833","-1.7861558198928833"
"755","-1.7377516031265259","-1.7377516031265259","-1.7377516031265259"
"761","-1.8066030740737915","-1.8066030740737915","-1.8066030740737915"
"763","-1.6455719470977783","-1.6455719470977783","-1.6455719470977783"
"769","-1.7486907243728638","-1.7486907243728638","-1.7486907243728638"
"771","-1.5487160682678223","-1.5487160682678223","-1.5487160682678223"
"775","-1.6684367656707764","-1.6684367656707764","-1.6684367656707764"
"781","-1.4287879467010498","-1.4287879467010498","-1.4287879467010498"
"787","-1.6716076135635376","-1.6716076135635376","-1.6716076135635376"
"789","-1.986318826675415","-1.986318826675415","-1.986318826675415"
"795","-1.686119556427002","-1.686119556427002","-1.686119556427002"
"797","-1.7820589542388916","-1.7820589542388916","-1.7820589542388916"
"799","-1.4465129375457764","-1.4465129375457764","-1.4465129375457764"
"801","-1.4516700506210327","-1.4516700506210327","-1.4516700506210327"
"803","-1.0420353412628174","-1.0420353412628174","-1.0420353412628174"
"805","-1.6044948101043701","-1.6044948101043701","-1.6044948101043701"
"807","-1.688867449760437","-1.688867449760437","-1.688867449760437"
"813","-1.8627779483795166","-1.8627779483795166","-1.8627779483795166"
"819","-1.6588681936264038","-1.6588681936264038","-1.6588681936264038"
"825","-1.4479050636291504","-1.4479050636291504","-1.4479050636291504"
"827","-1.5489962100982666","-1.5489962100982666","-1.5489962100982666"
"829","-1.6158583164215088","-1.6158583164215088","-1.6158583164215088"
"831","-1.823441982269287","-1.823441982269287","-1.823441982269287"
"837","-1.6020532846450806","-1.6020532846450806","-1.6020532846450806"
"839","-1.4162975549697876","-1.4162975549697876","-1.4162975549697876"
"845","-1.2530443668365479","-1.2530443668365479","-1.2530443668365479"
"849","-1.6398206949234009","-1.6398206949234009","-1.6398206949234009"
"851","-1.127374291419983","-1.127374291419983","-1.127374291419983"
"853","-1.4708720445632935","-1.4708720445632935","-1.4708720445632935"
"855","-1.8467392921447754","-1.8467392921447754","-1.8467392921447754"
"863","-1.8877670764923096","-1.8877670764923096","-1.8877670764923096"
"867","-1.6623624563217163","-1.6623624563217163","-1.6623624563217163"
"871","-1.9079715013504028","-1.9079715013504028","-1.9079715013504028"
"877","-1.6792523860931396","-1.6792523860931396","-1.6792523860931396"
"883","-1.716461420059204","-1.716461420059204","-1.716461420059204"
"885","-1.4451504945755005","-1.4451504945755005","-1.4451504945755005"
"889","-1.0606693029403687","-1.0606693029403687","-1.0606693029403687"
"891","-2.0033297538757324","-2.0033297538757324","-2.0033297538757324"
"895","-1.558721661567688","-1.558721661567688","-1.558721661567688"
"897","-1.7645339965820312","-1.7645339965820312","-1.7645339965820312"
"899","-1.46553635597229","-1.46553635597229","-1.46553635597229"
"903","-1.5628515481948853","-1.5628515481948853","-1.5628515481948853"
"905","-1.7701283693313599","-1.7701283693313599","-1.7701283693313599"
"909","-1.4914454221725464","-1.4914454221725464","-1.4914454221725464"
"913","-1.5790380239486694","-1.5790380239486694","-1.5790380239486694"
"915","-1.417104721069336","-1.417104721069336","-1.417104721069336"
"917","-2.0105233192443848","-2.0105233192443848","-2.0105233192443848"
"929","-2.029538869857788","-2.029538869857788","-2.029538869857788"
"939","-1.7096264362335205","-1.7096264362335205","-1.7096264362335205"
"945","-1.999465823173523","-1.999465823173523","-1.999465823173523"
"947","-1.7228660583496094","-1.7228660583496094","-1.7228660583496094"
"953","-1.9674906730651855","-1.9674906730651855","-1.9674906730651855"
"959","-1.1614081859588623","-1.1614081859588623","-1.1614081859588623"
"961","-1.3164838552474976","-1.3164838552474976","-1.3164838552474976"
"965","-1.5409047603607178","-1.5409047603607178","-1.5409047603607178"
"967","-1.8111600875854492","-1.8111600875854492","-1.8111600875854492"
"971","-1.6566251516342163","-1.6566251516342163","-1.6566251516342163"
"973","-1.4254555702209473","-1.4254555702209473","-1.4254555702209473"
"975","-1.7532387971878052","-1.7532387971878052","-1.7532387971878052"
"979","-1.5392885208129883","-1.5392885208129883","-1.5392885208129883"
"989","-1.6268137693405151","-1.6268137693405151","-1.6268137693405151"
"993","-1.607111930847168","-1.607111930847168","-1.607111930847168"
"995","-1.5468014478683472","-1.5468014478683472","-1.5468014478683472"
"997","-1.736067771911621","-1.736067771911621","-1.736067771911621"
"999","-1.1877870559692383","-1.1877870559692383","-1.1877870559692383"
"1003","-1.1235898733139038","-1.1235898733139038","-1.1235898733139038"
"1009","-1.5079586505889893","-1.5079586505889893","-1.5079586505889893"
"1011","-1.8685641288757324","-1.8685641288757324","-1.8685641288757324"
"1013","-1.8090007305145264","-1.8090007305145264","-1.8090007305145264"
"1015","-1.7335313558578491","-1.7335313558578491","-1.7335313558578491"
"1019","-1.3012068271636963","-1.3012068271636963","-1.3012068271636963"
"1025","-1.3038078546524048","-1.3038078546524048","-1.3038078546524048"
"1031","-1.5919572114944458","-1.5919572114944458","-1.5919572114944458"
"1033","-1.5675796270370483","-1.5675796270370483","-1.5675796270370483"
"1037","-1.697732925415039","-1.697732925415039","-1.697732925415039"
"1039","-1.076629400253296","-1.076629400253296","-1.076629400253296"
"1045","-1.2942920923233032","-1.2942920923233032","-1.2942920923233032"
"1067","-1.2951099872589111","-1.2951099872589111","-1.2951099872589111"
"1075","-1.3376461267471313","-1.3376461267471313","-1.3376461267471313"
"1077","-2.0134096145629883","-2.0134096145629883","-2.0134096145629883"
"1079","-1.3946950435638428","-1.3946950435638428","-1.3946950435638428"
"1081","-1.1967324018478394","-1.1967324018478394","-1.1967324018478394"
"1085","-1.738000512123108","-1.738000512123108","-1.738000512123108"
"1091","-1.4092795848846436","-1.4092795848846436","-1.4092795848846436"
"1095","-1.559668779373169","-1.559668779373169","-1.559668779373169"
"1097","-1.1864887475967407","-1.1864887475967407","-1.1864887475967407"
"1099","-1.489756464958191","-1.489756464958191","-1.489756464958191"
"1101","-1.7785332202911377","-1.7785332202911377","-1.7785332202911377"
"1103","-1.2977659702301025","-1.2977659702301025","-1.2977659702301025"
"1105","-1.7614383697509766","-1.7614383697509766","-1.7614383697509766"
"1107","-1.300931453704834","-1.300931453704834","-1.300931453704834"
"1113","-1.6984575986862183","-1.6984575986862183","-1.6984575986862183"
"1117","-1.3742241859436035","-1.3742241859436035","-1.3742241859436035"
"1127","-1.7002012729644775","-1.7002012729644775","-1.7002012729644775"
"1129","-1.8058063983917236","-1.8058063983917236","-1.8058063983917236"
"1135","-1.6270405054092407","-1.6270405054092407","-1.6270405054092407"
"1137","-1.365800142288208","-1.365800142288208","-1.365800142288208"
"1141","-1.6323726177215576","-1.6323726177215576","-1.6323726177215576"
"1143","-1.668411374092102","-1.668411374092102","-1.668411374092102"
"1147","-1.1758861541748047","-1.1758861541748047","-1.1758861541748047"
"1149","-1.886795997619629","-1.886795997619629","-1.886795997619629"
"1151","-1.5981767177581787","-1.5981767177581787","-1.5981767177581787"
"1155","-1.427838921546936","-1.427838921546936","-1.427838921546936"
"1165","-1.6051727533340454","-1.6051727533340454","-1.6051727533340454"
"1167","-1.0840775966644287","-1.0840775966644287","-1.0840775966644287"
"1169","-1.6564544439315796","-1.6564544439315796","-1.6564544439315796"
"1173","-1.7311476469039917","-1.7311476469039917","-1.7311476469039917"
"1177","-1.410386323928833","-1.410386323928833","-1.410386323928833"
"1181","-1.3540010452270508","-1.3540010452270508","-1.3540010452270508"
"1183","-1.4454288482666016","-1.4454288482666016","-1.4454288482666016"
"1185","-1.6585649251937866","-1.6585649251937866","-1.6585649251937866"
"1189","-1.1032493114471436","-1.1032493114471436","-1.1032493114471436"
"1191","-1.43840754032135","-1.43840754032135","-1.43840754032135"
"1195","-1.534382939338684","-1.534382939338684","-1.534382939338684"
"1197","-1.2320594787597656","-1.2320594787597656","-1.2320594787597656"
"1201","-1.7347314357757568","-1.7347314357757568","-1.7347314357757568"
"1205","-1.3266613483428955","-1.3266613483428955","-1.3266613483428955"
"1209","-0.7940845489501953","-0.7940845489501953","-0.7940845489501953"
"1213","-1.4654096364974976","-1.4654096364974976","-1.4654096364974976"
"1217","-1.191056489944458","-1.191056489944458","-1.191056489944458"
"1219","-1.380111575126648","-1.380111575126648","-1.380111575126648"
"1225","-1.6337701082229614","-1.6337701082229614","-1.6337701082229614"
"1229","-1.3401916027069092","-1.3401916027069092","-1.3401916027069092"
"1231","-1.3280037641525269","-1.3280037641525269","-1.3280037641525269"
"1249","-0.9296329021453857","-0.9296329021453857","-0.9296329021453857"
"1251","-0.8443418741226196","-0.8443418741226196","-0.8443418741226196"
"1253","-1.9547090530395508","-1.9547090530395508","-1.9547090530395508"
"1257","-1.0437344312667847","-1.0437344312667847","-1.0437344312667847"
"1259","-1.0438414812088013","-1.0438414812088013","-1.0438414812088013"
"1263","-1.4426687955856323","-1.4426687955856323","-1.4426687955856323"
"1265","-1.354321837425232","-1.354321837425232","-1.354321837425232"
"1281","-1.561042308807373","-1.561042308807373","-1.561042308807373"
"1289","-1.0646553039550781","-1.0646553039550781","-1.0646553039550781"
"1291","-1.8284729719161987","-1.8284729719161987","-1.8284729719161987"
"1299","-1.799940586090088","-1.799940586090088","-1.799940586090088"
"1305","-0.9301180243492126","-0.9301180243492126","-0.9301180243492126"
"1307","-1.4580798149108887","-1.4580798149108887","-1.4580798149108887"
"1313","-1.9612531661987305","-1.9612531661987305","-1.9612531661987305"
"1315","-0.8801469802856445","-0.8801469802856445","-0.8801469802856445"
"1321","-1.4214746952056885","-1.4214746952056885","-1.4214746952056885"
"1323","-1.1236827373504639","-1.1236827373504639","-1.1236827373504639"
"1329","-1.5021917819976807","-1.5021917819976807","-1.5021917819976807"
"1333","-1.0707263946533203","-1.0707263946533203","-1.0707263946533203"
"1335","-1.5586233139038086","-1.5586233139038086","-1.5586233139038086"
"1339","-1.1115707159042358","-1.1115707159042358","-1.1115707159042358"
"1341","-1.722430944442749","-1.722430944442749","-1.722430944442749"
"1345","-0.9734636545181274","-0.9734636545181274","-0.9734636545181274"
"1347","-1.5189576148986816","-1.5189576148986816","-1.5189576148986816"
"1349","-1.4700939655303955","-1.4700939655303955","-1.4700939655303955"
"1351","-1.1459912061691284","-1.1459912061691284","-1.1459912061691284"
"1355","-1.9667479991912842","-1.9667479991912842","-1.9667479991912842"
"1357","-1.8097593784332275","-1.8097593784332275","-1.8097593784332275"
"1359","-1.411280632019043","-1.411280632019043","-1.411280632019043"
"1361","-1.6277283430099487","-1.6277283430099487","-1.6277283430099487"
"1363","-0.47908884286880493","-0.47908884286880493","-0.47908884286880493"
"1365","-1.772993564605713","-1.772993564605713","-1.772993564605713"
"1367","-1.7500250339508057","-1.7500250339508057","-1.7500250339508057"
"1369","-1.2961647510528564","-1.2961647510528564","-1.2961647510528564"
"1371","-1.5584503412246704","-1.5584503412246704","-1.5584503412246704"
"1373","-1.0338764190673828","-1.0338764190673828","-1.0338764190673828"
"1375","-1.4366533756256104","-1.4366533756256104","-1.4366533756256104"
"1377","-1.0929718017578125","-1.0929718017578125","-1.0929718017578125"
"1379","-1.3446530103683472","-1.3446530103683472","-1.3446530103683472"
"1381","-1.1188629865646362","-1.1188629865646362","-1.1188629865646362"
"1385","-1.2532448768615723","-1.2532448768615723","-1.2532448768615723"
"1387","-1.5948697328567505","-1.5948697328567505","-1.5948697328567505"
"1389","-1.0551055669784546","-1.0551055669784546","-1.0551055669784546"
"1395","-1.0522230863571167","-1.0522230863571167","-1.0522230863571167"
"1397","-1.0420622825622559","-1.0420622825622559","-1.0420622825622559"
"1399","-1.358794927597046","-1.358794927597046","-1.358794927597046"
"1401","-1.9365475177764893","-1.9365475177764893","-1.9365475177764893"
"1403","-1.2927755117416382","-1.2927755117416382","-1.2927755117416382"
"1405","-1.7623652219772339","-1.7623652219772339","-1.7623652219772339"
"1407","-1.360154390335083","-1.360154390335083","-1.360154390335083"
"1409","-1.5138276815414429","-1.5138276815414429","-1.5138276815414429"
"1411","-1.2460041046142578","-1.2460041046142578","-1.2460041046142578"
"1417","-0.7877217531204224","-0.7877217531204224","-0.7877217531204224"
"1419","-1.1661807298660278","-1.1661807298660278","-1.1661807298660278"
"1425","-1.0341074466705322","-1.0341074466705322","-1.0341074466705322"
"1429","-1.539617896080017","-1.539617896080017","-1.539617896080017"
"1431","-0.9670815467834473","-0.9670815467834473","-0.9670815467834473"
"1435","-0.9610247611999512","-0.9610247611999512","-0.9610247611999512"
"1437","-1.1986968517303467","-1.1986968517303467","-1.1986968517303467"
"1445","-1.430475115776062","-1.430475115776062","-1.430475115776062"
"1447","-1.8868815898895264","-1.8868815898895264","-1.8868815898895264"
"1451","-0.9288314580917358","-0.9288314580917358","-0.9288314580917358"
"1453","-1.0432288646697998","-1.0432288646697998","-1.0432288646697998"
"1455","-1.4915716648101807","-1.4915716648101807","-1.4915716648101807"
"1461","-1.154219150543213","-1.154219150543213","-1.154219150543213"
"1465","-1.3367418050765991","-1.3367418050765991","-1.3367418050765991"
"1471","-2.010258197784424","-2.010258197784424","-2.010258197784424"
"1475","-0.9306443929672241","-0.9306443929672241","-0.9306443929672241"
"1477","-0.7853578329086304","-0.7853578329086304","-0.7853578329086304"
"1479","-1.38149893283844","-1.38149893283844","-1.38149893283844"
"1485","-1.037939429283142","-1.037939429283142","-1.037939429283142"
"1487","-1.63896644115448","-1.63896644115448","-1.63896644115448"
"1489","-0.9155658483505249","-0.9155658483505249","-0.9155658483505249"
"1493","-0.8831115961074829","-0.8831115961074829","-0.8831115961074829"
"1497","-1.2953423261642456","-1.2953423261642456","-1.2953423261642456"
"1501","-1.3456159830093384","-1.3456159830093384","-1.3456159830093384"
"1503","-0.6972091197967529","-0.6972091197967529","-0.6972091197967529"
"1509","-1.506770372390747","-1.506770372390747","-1.506770372390747"
