"Step","still-disco-8 - global_step","still-disco-8 - global_step__MIN","still-disco-8 - global_step__MAX"
"14585","1769472","1769472","1769472"
"14586","1785856","1785856","1785856"
"14587","1785856","1785856","1785856"
"14588","1785856","1785856","1785856"
"14905","1785856","1785856","1785856"
"14906","1802240","1802240","1802240"
"14907","1802240","1802240","1802240"
"14908","1802240","1802240","1802240"
"14909","1802240","1802240","1802240"
"14910","1818624","1818624","1818624"
"14911","1818624","1818624","1818624"
"14912","1818624","1818624","1818624"
"15213","1818624","1818624","1818624"
"15214","1835008","1835008","1835008"
"15215","1835008","1835008","1835008"
"15216","1835008","1835008","1835008"
"15217","1835008","1835008","1835008"
"15218","1851392","1851392","1851392"
"15219","1851392","1851392","1851392"
"15220","1851392","1851392","1851392"
"15235","1851392","1851392","1851392"
"15236","1867776","1867776","1867776"
"15237","1867776","1867776","1867776"
"15238","1867776","1867776","1867776"
"15550","1867776","1867776","1867776"
"15551","1884160","1884160","1884160"
"15552","1884160","1884160","1884160"
"15553","1884160","1884160","1884160"
"15554","1884160","1884160","1884160"
"15555","1900544","1900544","1900544"
"15556","1900544","1900544","1900544"
"15557","1900544","1900544","1900544"
"15873","1900544","1900544","1900544"
"15874","1916928","1916928","1916928"
"15875","1916928","1916928","1916928"
"15876","1916928","1916928","1916928"
"15877","1916928","1916928","1916928"
"15878","1933312","1933312","1933312"
"15879","1933312","1933312","1933312"
"15880","1933312","1933312","1933312"
"15881","1933312","1933312","1933312"
"15882","1949696","1949696","1949696"
"15883","1949696","1949696","1949696"
"15884","1949696","1949696","1949696"
"16204","1949696","1949696","1949696"
"16205","1966080","1966080","1966080"
"16206","1966080","1966080","1966080"
"16207","1966080","1966080","1966080"
"16208","1966080","1966080","1966080"
"16209","1982464","1982464","1982464"
"16210","1982464","1982464","1982464"
"16211","1982464","1982464","1982464"
"16528","1982464","1982464","1982464"
"16529","1998848","1998848","1998848"
"16530","1998848","1998848","1998848"
"16531","1998848","1998848","1998848"
"16532","1998848","1998848","1998848"
"16533","2015232","2015232","2015232"
"16534","2015232","2015232","2015232"
"16535","2015232","2015232","2015232"
"16801","2015232","2015232","2015232"
"16802","2031616","2031616","2031616"
"16803","2031616","2031616","2031616"
"16804","2031616","2031616","2031616"
"16805","2031616","2031616","2031616"
"16806","2048000","2048000","2048000"
"16807","2048000","2048000","2048000"
"16808","2048000","2048000","2048000"
"16860","2048000","2048000","2048000"
"16861","2064384","2064384","2064384"
"16862","2064384","2064384","2064384"
"16863","2064384","2064384","2064384"
"17180","2064384","2064384","2064384"
"17181","2080768","2080768","2080768"
"17182","2080768","2080768","2080768"
"17183","2080768","2080768","2080768"
"17184","2080768","2080768","2080768"
"17185","2097152","2097152","2097152"
"17186","2097152","2097152","2097152"
"17187","2097152","2097152","2097152"
"17460","2097152","2097152","2097152"
"17461","2113536","2113536","2113536"
"17462","2113536","2113536","2113536"
"17463","2113536","2113536","2113536"
"17464","2113536","2113536","2113536"
"17465","2129920","2129920","2129920"
"17466","2129920","2129920","2129920"
"17467","2129920","2129920","2129920"
"17510","2129920","2129920","2129920"
"17511","2146304","2146304","2146304"
"17512","2146304","2146304","2146304"
"17513","2146304","2146304","2146304"
"17825","2146304","2146304","2146304"
"17826","2162688","2162688","2162688"
"17827","2162688","2162688","2162688"
"17828","2162688","2162688","2162688"
"17829","2162688","2162688","2162688"
"17830","2179072","2179072","2179072"
"17831","2179072","2179072","2179072"
"17832","2179072","2179072","2179072"
"18120","2179072","2179072","2179072"
"18121","2195456","2195456","2195456"
"18122","2195456","2195456","2195456"
"18123","2195456","2195456","2195456"
"18124","2195456","2195456","2195456"
"18125","2211840","2211840","2211840"
"18126","2211840","2211840","2211840"
"18127","2211840","2211840","2211840"
"18154","2211840","2211840","2211840"
"18155","2228224","2228224","2228224"
"18156","2228224","2228224","2228224"
"18157","2228224","2228224","2228224"
"18476","2228224","2228224","2228224"
"18477","2244608","2244608","2244608"
"18478","2244608","2244608","2244608"
"18479","2244608","2244608","2244608"
"18480","2244608","2244608","2244608"
"18481","2260992","2260992","2260992"
"18482","2260992","2260992","2260992"
"18483","2260992","2260992","2260992"
"18785","2260992","2260992","2260992"
"18786","2277376","2277376","2277376"
"18787","2277376","2277376","2277376"
"18788","2277376","2277376","2277376"
"18789","2277376","2277376","2277376"
"18790","2293760","2293760","2293760"
"18791","2293760","2293760","2293760"
"18792","2293760","2293760","2293760"
"18807","2293760","2293760","2293760"
"18808","2310144","2310144","2310144"
"18809","2310144","2310144","2310144"
"18810","2310144","2310144","2310144"
"19126","2310144","2310144","2310144"
"19127","2326528","2326528","2326528"
"19128","2326528","2326528","2326528"
"19129","2326528","2326528","2326528"
"19130","2326528","2326528","2326528"
"19131","2342912","2342912","2342912"
"19132","2342912","2342912","2342912"
"19133","2342912","2342912","2342912"
"19444","2342912","2342912","2342912"
"19445","2359296","2359296","2359296"
"19446","2359296","2359296","2359296"
"19447","2359296","2359296","2359296"
"19448","2359296","2359296","2359296"
"19449","2375680","2375680","2375680"
"19450","2375680","2375680","2375680"
"19451","2375680","2375680","2375680"
"19457","2375680","2375680","2375680"
"19458","2392064","2392064","2392064"
"19459","2392064","2392064","2392064"
"19460","2392064","2392064","2392064"
"19777","2392064","2392064","2392064"
"19778","2408448","2408448","2408448"
"19779","2408448","2408448","2408448"
"19780","2408448","2408448","2408448"
"19781","2408448","2408448","2408448"
"19782","2424832","2424832","2424832"
"19783","2424832","2424832","2424832"
"19784","2424832","2424832","2424832"
"20098","2424832","2424832","2424832"
"20099","2441216","2441216","2441216"
"20100","2441216","2441216","2441216"
"20101","2441216","2441216","2441216"
"20102","2441216","2441216","2441216"
"20103","2457600","2457600","2457600"
"20104","2457600","2457600","2457600"
"20105","2457600","2457600","2457600"
"20368","2457600","2457600","2457600"
"20369","2473984","2473984","2473984"
"20370","2473984","2473984","2473984"
"20371","2473984","2473984","2473984"
"20372","2473984","2473984","2473984"
"20373","2490368","2490368","2490368"
"20374","2490368","2490368","2490368"
"20375","2490368","2490368","2490368"
"20429","2490368","2490368","2490368"
"20430","2506752","2506752","2506752"
"20431","2506752","2506752","2506752"
"20432","2506752","2506752","2506752"
"20753","2506752","2506752","2506752"
"20754","2523136","2523136","2523136"
"20755","2523136","2523136","2523136"
"20756","2523136","2523136","2523136"
"20757","2523136","2523136","2523136"
"20758","2539520","2539520","2539520"
"20759","2539520","2539520","2539520"
"20760","2539520","2539520","2539520"
"21032","2539520","2539520","2539520"
"21033","2555904","2555904","2555904"
"21034","2555904","2555904","2555904"
"21035","2555904","2555904","2555904"
"21036","2555904","2555904","2555904"
"21037","2572288","2572288","2572288"
"21038","2572288","2572288","2572288"
"21039","2572288","2572288","2572288"
"21082","2572288","2572288","2572288"
"21083","2588672","2588672","2588672"
"21084","2588672","2588672","2588672"
"21085","2588672","2588672","2588672"
"21401","2588672","2588672","2588672"
"21402","2605056","2605056","2605056"
"21403","2605056","2605056","2605056"
"21404","2605056","2605056","2605056"
"21405","2605056","2605056","2605056"
"21406","2621440","2621440","2621440"
"21407","2621440","2621440","2621440"
"21408","2621440","2621440","2621440"
"21693","2621440","2621440","2621440"
"21694","2637824","2637824","2637824"
"21695","2637824","2637824","2637824"
"21696","2637824","2637824","2637824"
"21697","2637824","2637824","2637824"
"21698","2654208","2654208","2654208"
"21699","2654208","2654208","2654208"
"21700","2654208","2654208","2654208"
"21732","2654208","2654208","2654208"
"21733","2670592","2670592","2670592"
"21734","2670592","2670592","2670592"
"21735","2670592","2670592","2670592"
"22052","2670592","2670592","2670592"
"22053","2686976","2686976","2686976"
"22054","2686976","2686976","2686976"
"22055","2686976","2686976","2686976"
"22056","2686976","2686976","2686976"
"22057","2703360","2703360","2703360"
"22058","2703360","2703360","2703360"
"22059","2703360","2703360","2703360"
"22353","2703360","2703360","2703360"
"22354","2719744","2719744","2719744"
"22355","2719744","2719744","2719744"
"22356","2719744","2719744","2719744"
"22357","2719744","2719744","2719744"
"22358","2736128","2736128","2736128"
"22359","2736128","2736128","2736128"
"22360","2736128","2736128","2736128"
"22380","2736128","2736128","2736128"
"22381","2752512","2752512","2752512"
"22382","2752512","2752512","2752512"
"22383","2752512","2752512","2752512"
"22700","2752512","2752512","2752512"
"22701","2768896","2768896","2768896"
"22702","2768896","2768896","2768896"
"22703","2768896","2768896","2768896"
"22704","2768896","2768896","2768896"
"22705","2785280","2785280","2785280"
"22706","2785280","2785280","2785280"
"22707","2785280","2785280","2785280"
"23016","2785280","2785280","2785280"
"23017","2801664","2801664","2801664"
"23018","2801664","2801664","2801664"
"23020","2801664","2801664","2801664"
"23021","2801664","2801664","2801664"
"23022","2818048","2818048","2818048"
"23023","2818048","2818048","2818048"
"23024","2818048","2818048","2818048"
"23035","2818048","2818048","2818048"
"23036","2834432","2834432","2834432"
"23037","2834432","2834432","2834432"
"23038","2834432","2834432","2834432"
"23354","2834432","2834432","2834432"
"23355","2850816","2850816","2850816"
"23356","2850816","2850816","2850816"
"23357","2850816","2850816","2850816"
"23358","2850816","2850816","2850816"
"23359","2867200","2867200","2867200"
"23360","2867200","2867200","2867200"
"23361","2867200","2867200","2867200"
"23676","2867200","2867200","2867200"
"23677","2883584","2883584","2883584"
"23678","2883584","2883584","2883584"
"23679","2883584","2883584","2883584"
"23680","2883584","2883584","2883584"
"23681","2899968","2899968","2899968"
"23682","2899968","2899968","2899968"
"23683","2899968","2899968","2899968"
"23941","2899968","2899968","2899968"
"23942","2916352","2916352","2916352"
"23943","2916352","2916352","2916352"
"23944","2916352","2916352","2916352"
"23945","2916352","2916352","2916352"
"23946","2932736","2932736","2932736"
"23947","2932736","2932736","2932736"
"23948","2932736","2932736","2932736"
"24008","2932736","2932736","2932736"
"24009","2949120","2949120","2949120"
"24010","2949120","2949120","2949120"
"24011","2949120","2949120","2949120"
"24324","2949120","2949120","2949120"
"24325","2965504","2965504","2965504"
"24326","2965504","2965504","2965504"
"24327","2965504","2965504","2965504"
"24328","2965504","2965504","2965504"
"24329","2981888","2981888","2981888"
"24330","2981888","2981888","2981888"
"24331","2981888","2981888","2981888"
"24600","2981888","2981888","2981888"
"24601","2998272","2998272","2998272"
"24602","2998272","2998272","2998272"
"24603","2998272","2998272","2998272"
"24604","2998272","2998272","2998272"
"24605","3014656","3014656","3014656"
"24606","3014656","3014656","3014656"
"24607","3014656","3014656","3014656"
"24652","3014656","3014656","3014656"
"24653","3031040","3031040","3031040"
"24654","3031040","3031040","3031040"
"24655","3031040","3031040","3031040"
"24971","3031040","3031040","3031040"
"24972","3047424","3047424","3047424"
"24973","3047424","3047424","3047424"
"24974","3047424","3047424","3047424"
"24975","3047424","3047424","3047424"
"24976","3063808","3063808","3063808"
"24977","3063808","3063808","3063808"
"24978","3063808","3063808","3063808"
"25263","3063808","3063808","3063808"
"25264","3080192","3080192","3080192"
"25265","3080192","3080192","3080192"
"25266","3080192","3080192","3080192"
"25267","3080192","3080192","3080192"
"25268","3096576","3096576","3096576"
"25269","3096576","3096576","3096576"
"25270","3096576","3096576","3096576"
"25305","3096576","3096576","3096576"
"25306","3112960","3112960","3112960"
"25307","3112960","3112960","3112960"
"25308","3112960","3112960","3112960"
"25625","3112960","3112960","3112960"
"25626","3129344","3129344","3129344"
"25627","3129344","3129344","3129344"
"25628","3129344","3129344","3129344"
"25629","3129344","3129344","3129344"
"25630","3145728","3145728","3145728"
"25631","3145728","3145728","3145728"
"25632","3145728","3145728","3145728"
"25925","3145728","3145728","3145728"
"25926","3162112","3162112","3162112"
"25927","3162112","3162112","3162112"
"25928","3162112","3162112","3162112"
"25929","3162112","3162112","3162112"
"25930","3178496","3178496","3178496"
"25931","3178496","3178496","3178496"
"25932","3178496","3178496","3178496"
