"Step","still-disco-8 - step_crash","still-disco-8 - step_crash__MIN","still-disco-8 - step_crash__MAX"
"2920","1","1","1"
"2922","2","2","2"
"2928","0","0","0"
"2930","0","0","0"
"2934","3","3","3"
"2938","1","1","1"
"2944","2","2","2"
"2948","4","4","4"
"2952","2","2","2"
"2954","0","0","0"
"2956","4","4","4"
"2958","1","1","1"
"2960","4","4","4"
"2962","1","1","1"
"2964","1","1","1"
"2968","2","2","2"
"2970","1","1","1"
"2972","1","1","1"
"2974","2","2","2"
"2978","3","3","3"
"2980","1","1","1"
"2984","1","1","1"
"2988","0","0","0"
"2990","3","3","3"
"2992","1","1","1"
"2996","2","2","2"
"2998","2","2","2"
"3002","4","4","4"
"3004","0","0","0"
"3006","1","1","1"
"3010","0","0","0"
"3012","1","1","1"
"3016","0","0","0"
"3018","1","1","1"
"3024","3","3","3"
"3030","3","3","3"
"3036","3","3","3"
"3038","0","0","0"
"3042","1","1","1"
"3046","0","0","0"
"3048","0","0","0"
"3050","1","1","1"
"3052","1","1","1"
"3056","1","1","1"
"3058","1","1","1"
"3060","2","2","2"
"3062","1","1","1"
"3066","1","1","1"
"3074","0","0","0"
"3076","0","0","0"
"3080","2","2","2"
"3084","0","0","0"
"3092","1","1","1"
"3094","0","0","0"
"3098","2","2","2"
"3104","0","0","0"
"3106","1","1","1"
"3108","0","0","0"
"3112","1","1","1"
"3120","0","0","0"
"3132","2","2","2"
"3136","0","0","0"
"3138","0","0","0"
"3142","1","1","1"
"3144","0","0","0"
"3146","2","2","2"
"3150","0","0","0"
"3152","2","2","2"
"3154","1","1","1"
"3156","0","0","0"
"3158","1","1","1"
"3160","0","0","0"
"3164","0","0","0"
"3166","0","0","0"
"3172","0","0","0"
"3174","0","0","0"
"3180","1","1","1"
"3192","2","2","2"
"3198","1","1","1"
"3204","1","1","1"
"3208","1","1","1"
"3220","0","0","0"
"3222","0","0","0"
"3240","0","0","0"
"3242","3","3","3"
"3244","0","0","0"
"3246","0","0","0"
"3252","0","0","0"
"3256","0","0","0"
"3258","0","0","0"
"3260","1","1","1"
"3262","2","2","2"
"3264","1","1","1"
"3266","2","2","2"
"3268","0","0","0"
"3270","1","1","1"
"3276","2","2","2"
"3278","2","2","2"
"3280","0","0","0"
"3286","1","1","1"
"3290","0","0","0"
"3300","0","0","0"
"3302","0","0","0"
"3304","0","0","0"
"3306","0","0","0"
"3310","0","0","0"
"3314","0","0","0"
"3316","0","0","0"
"3318","1","1","1"
"3320","1","1","1"
"3322","0","0","0"
"3324","0","0","0"
"3328","1","1","1"
"3334","2","2","2"
"3336","1","1","1"
"3338","0","0","0"
"3342","1","1","1"
"3346","2","2","2"
"3348","1","1","1"
"3350","1","1","1"
"3352","1","1","1"
"3358","0","0","0"
"3362","0","0","0"
"3364","1","1","1"
"3366","0","0","0"
"3368","1","1","1"
"3372","0","0","0"
"3376","2","2","2"
"3378","0","0","0"
"3392","0","0","0"
"3402","1","1","1"
"3404","1","1","1"
"3408","2","2","2"
"3410","0","0","0"
"3412","0","0","0"
"3430","1","1","1"
"3434","1","1","1"
"3436","0","0","0"
"3438","0","0","0"
"3442","1","1","1"
"3444","0","0","0"
"3446","0","0","0"
"3448","1","1","1"
"3456","0","0","0"
"3462","2","2","2"
"3466","2","2","2"
"3468","0","0","0"
"3470","0","0","0"
"3472","0","0","0"
"3474","0","0","0"
"3476","1","1","1"
"3486","0","0","0"
"3488","0","0","0"
"3496","1","1","1"
"3502","2","2","2"
"3506","0","0","0"
"3508","1","1","1"
"3512","0","0","0"
"3516","2","2","2"
"3518","0","0","0"
"3522","1","1","1"
"3526","0","0","0"
"3528","1","1","1"
