"Step","still-disco-8 - Smallest CBF value","still-disco-8 - Smallest CBF value__MIN","still-disco-8 - Smallest CBF value__MAX"
"891","-0.3077077269554138","-0.3077077269554138","-0.3077077269554138"
"899","-0.237754225730896","-0.237754225730896","-0.237754225730896"
"901","-0.24842619895935059","-0.24842619895935059","-0.24842619895935059"
"905","-0.23362644016742706","-0.23362644016742706","-0.23362644016742706"
"909","-0.2393672913312912","-0.2393672913312912","-0.2393672913312912"
"911","-0.2640721797943115","-0.2640721797943115","-0.2640721797943115"
"915","-0.25793203711509705","-0.25793203711509705","-0.25793203711509705"
"919","-0.2414679080247879","-0.2414679080247879","-0.2414679080247879"
"945","-0.24177834391593933","-0.24177834391593933","-0.24177834391593933"
"949","-0.25473758578300476","-0.25473758578300476","-0.25473758578300476"
"953","-0.2575400769710541","-0.2575400769710541","-0.2575400769710541"
"959","-0.2906765639781952","-0.2906765639781952","-0.2906765639781952"
"971","-0.24595481157302856","-0.24595481157302856","-0.24595481157302856"
"977","-0.23823432624340057","-0.23823432624340057","-0.23823432624340057"
"979","-0.2909606993198395","-0.2909606993198395","-0.2909606993198395"
"981","-0.24570658802986145","-0.24570658802986145","-0.24570658802986145"
"983","-0.2922443449497223","-0.2922443449497223","-0.2922443449497223"
"985","-0.2787081003189087","-0.2787081003189087","-0.2787081003189087"
"989","-0.2502234876155853","-0.2502234876155853","-0.2502234876155853"
"993","-0.24476777017116547","-0.24476777017116547","-0.24476777017116547"
"1003","-0.25855553150177","-0.25855553150177","-0.25855553150177"
"1005","-0.2750600576400757","-0.2750600576400757","-0.2750600576400757"
"1009","-0.26912179589271545","-0.26912179589271545","-0.26912179589271545"
"1013","-0.3003038763999939","-0.3003038763999939","-0.3003038763999939"
"1015","-0.25192171335220337","-0.25192171335220337","-0.25192171335220337"
"1017","-0.2708209156990051","-0.2708209156990051","-0.2708209156990051"
"1019","-0.2086457461118698","-0.2086457461118698","-0.2086457461118698"
"1027","-0.22562275826931","-0.22562275826931","-0.22562275826931"
"1035","-0.22961415350437164","-0.22961415350437164","-0.22961415350437164"
"1045","-0.25211796164512634","-0.25211796164512634","-0.25211796164512634"
"1055","-0.20500093698501587","-0.20500093698501587","-0.20500093698501587"
"1057","-0.2595643103122711","-0.2595643103122711","-0.2595643103122711"
"1063","-0.2356269210577011","-0.2356269210577011","-0.2356269210577011"
"1071","-0.22605834901332855","-0.22605834901332855","-0.22605834901332855"
"1073","-0.287933886051178","-0.287933886051178","-0.287933886051178"
"1075","-0.3201148211956024","-0.3201148211956024","-0.3201148211956024"
"1079","-0.2511601448059082","-0.2511601448059082","-0.2511601448059082"
"1083","-0.27291935682296753","-0.27291935682296753","-0.27291935682296753"
"1085","-0.257996141910553","-0.257996141910553","-0.257996141910553"
"1089","-0.2375391125679016","-0.2375391125679016","-0.2375391125679016"
"1095","-0.26233869791030884","-0.26233869791030884","-0.26233869791030884"
"1097","-0.2862701416015625","-0.2862701416015625","-0.2862701416015625"
"1101","-0.22783935070037842","-0.22783935070037842","-0.22783935070037842"
"1107","-0.2769983112812042","-0.2769983112812042","-0.2769983112812042"
"1109","-0.24419820308685303","-0.24419820308685303","-0.24419820308685303"
"1111","-0.2660534679889679","-0.2660534679889679","-0.2660534679889679"
"1113","-0.18652375042438507","-0.18652375042438507","-0.18652375042438507"
"1115","-0.2626644968986511","-0.2626644968986511","-0.2626644968986511"
"1117","-0.25878265500068665","-0.25878265500068665","-0.25878265500068665"
"1119","-0.24907658994197845","-0.24907658994197845","-0.24907658994197845"
"1123","-0.2376561164855957","-0.2376561164855957","-0.2376561164855957"
"1125","-0.2731877863407135","-0.2731877863407135","-0.2731877863407135"
"1131","-0.29309725761413574","-0.29309725761413574","-0.29309725761413574"
"1135","-0.26167407631874084","-0.26167407631874084","-0.26167407631874084"
"1137","-0.2737642526626587","-0.2737642526626587","-0.2737642526626587"
"1139","-0.30046528577804565","-0.30046528577804565","-0.30046528577804565"
"1141","-0.21166755259037018","-0.21166755259037018","-0.21166755259037018"
"1143","-0.23687998950481415","-0.23687998950481415","-0.23687998950481415"
"1145","-0.24358658492565155","-0.24358658492565155","-0.24358658492565155"
"1147","-0.2335638403892517","-0.2335638403892517","-0.2335638403892517"
"1151","-0.26548126339912415","-0.26548126339912415","-0.26548126339912415"
"1155","-0.2563314139842987","-0.2563314139842987","-0.2563314139842987"
"1159","-0.2738490402698517","-0.2738490402698517","-0.2738490402698517"
"1161","-0.1834886521100998","-0.1834886521100998","-0.1834886521100998"
"1163","-0.24586333334445953","-0.24586333334445953","-0.24586333334445953"
"1167","-0.24811194837093353","-0.24811194837093353","-0.24811194837093353"
"1175","-0.2739015817642212","-0.2739015817642212","-0.2739015817642212"
"1179","-0.2523190677165985","-0.2523190677165985","-0.2523190677165985"
"1181","-0.19742099940776825","-0.19742099940776825","-0.19742099940776825"
"1183","-0.30633944272994995","-0.30633944272994995","-0.30633944272994995"
"1187","-0.22856727242469788","-0.22856727242469788","-0.22856727242469788"
"1189","-0.24720795452594757","-0.24720795452594757","-0.24720795452594757"
"1193","-0.21568070352077484","-0.21568070352077484","-0.21568070352077484"
"1197","-0.2268509417772293","-0.2268509417772293","-0.2268509417772293"
"1199","-0.27678194642066956","-0.27678194642066956","-0.27678194642066956"
"1201","-0.25808465480804443","-0.25808465480804443","-0.25808465480804443"
"1203","-0.24729357659816742","-0.24729357659816742","-0.24729357659816742"
"1205","-0.2629787027835846","-0.2629787027835846","-0.2629787027835846"
"1211","-0.2356884926557541","-0.2356884926557541","-0.2356884926557541"
"1213","-0.28126537799835205","-0.28126537799835205","-0.28126537799835205"
"1215","-0.2835669219493866","-0.2835669219493866","-0.2835669219493866"
"1217","-0.2904939353466034","-0.2904939353466034","-0.2904939353466034"
"1221","-0.25487011671066284","-0.25487011671066284","-0.25487011671066284"
"1225","-0.2663670480251312","-0.2663670480251312","-0.2663670480251312"
"1227","-0.2231149673461914","-0.2231149673461914","-0.2231149673461914"
"1231","-0.283366858959198","-0.283366858959198","-0.283366858959198"
"1233","-0.24231213331222534","-0.24231213331222534","-0.24231213331222534"
"1237","-0.24939708411693573","-0.24939708411693573","-0.24939708411693573"
"1241","-0.28864002227783203","-0.28864002227783203","-0.28864002227783203"
"1243","-0.2878701984882355","-0.2878701984882355","-0.2878701984882355"
"1245","-0.30506816506385803","-0.30506816506385803","-0.30506816506385803"
"1249","-0.2953638732433319","-0.2953638732433319","-0.2953638732433319"
"1253","-0.22049762308597565","-0.22049762308597565","-0.22049762308597565"
"1255","-0.26184752583503723","-0.26184752583503723","-0.26184752583503723"
"1257","-0.2612092196941376","-0.2612092196941376","-0.2612092196941376"
"1259","-0.2551501989364624","-0.2551501989364624","-0.2551501989364624"
"1265","-0.2893275320529938","-0.2893275320529938","-0.2893275320529938"
"1271","-0.2762700915336609","-0.2762700915336609","-0.2762700915336609"
"1281","-0.26225894689559937","-0.26225894689559937","-0.26225894689559937"
"1289","-0.29838791489601135","-0.29838791489601135","-0.29838791489601135"
"1291","-0.2561260461807251","-0.2561260461807251","-0.2561260461807251"
"1299","-0.19857020676136017","-0.19857020676136017","-0.19857020676136017"
"1301","-0.291929692029953","-0.291929692029953","-0.291929692029953"
"1305","-0.2181018590927124","-0.2181018590927124","-0.2181018590927124"
"1309","-0.23765245079994202","-0.23765245079994202","-0.23765245079994202"
"1313","-0.2501372694969177","-0.2501372694969177","-0.2501372694969177"
"1317","-0.24874909222126007","-0.24874909222126007","-0.24874909222126007"
"1321","-0.28854531049728394","-0.28854531049728394","-0.28854531049728394"
"1323","-0.2250775843858719","-0.2250775843858719","-0.2250775843858719"
"1339","-0.3283662796020508","-0.3283662796020508","-0.3283662796020508"
"1341","-0.26190587878227234","-0.26190587878227234","-0.26190587878227234"
"1343","-0.2872835695743561","-0.2872835695743561","-0.2872835695743561"
"1345","-0.268865704536438","-0.268865704536438","-0.268865704536438"
"1347","-0.250308632850647","-0.250308632850647","-0.250308632850647"
"1353","-0.26100605726242065","-0.26100605726242065","-0.26100605726242065"
"1355","-0.2952113747596741","-0.2952113747596741","-0.2952113747596741"
"1357","-0.20616334676742554","-0.20616334676742554","-0.20616334676742554"
"1359","-0.29539617896080017","-0.29539617896080017","-0.29539617896080017"
"1361","-0.24052847921848297","-0.24052847921848297","-0.24052847921848297"
"1363","-0.2055821418762207","-0.2055821418762207","-0.2055821418762207"
"1371","-0.3103594183921814","-0.3103594183921814","-0.3103594183921814"
"1377","-0.24030570685863495","-0.24030570685863495","-0.24030570685863495"
"1379","-0.2676892876625061","-0.2676892876625061","-0.2676892876625061"
"1383","-0.20172160863876343","-0.20172160863876343","-0.20172160863876343"
"1385","-0.2938374876976013","-0.2938374876976013","-0.2938374876976013"
"1387","-0.24776633083820343","-0.24776633083820343","-0.24776633083820343"
"1389","-0.24716758728027344","-0.24716758728027344","-0.24716758728027344"
"1395","-0.24754799902439117","-0.24754799902439117","-0.24754799902439117"
"1397","-0.2727617025375366","-0.2727617025375366","-0.2727617025375366"
"1401","-0.2511976361274719","-0.2511976361274719","-0.2511976361274719"
"1403","-0.20498794317245483","-0.20498794317245483","-0.20498794317245483"
"1405","-0.22446145117282867","-0.22446145117282867","-0.22446145117282867"
"1413","-0.2875366806983948","-0.2875366806983948","-0.2875366806983948"
"1419","-0.2606050670146942","-0.2606050670146942","-0.2606050670146942"
"1421","-0.24369342625141144","-0.24369342625141144","-0.24369342625141144"
