"Step","resilient-blaze-9 - Smallest CBF constraint(unfiltered)","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MIN","resilient-blaze-9 - Smallest CBF constraint(unfiltered)__MAX"
"589","-1.2595396041870117","-1.2595396041870117","-1.2595396041870117"
"595","-0.9537143707275391","-0.9537143707275391","-0.9537143707275391"
"597","-0.5051064491271973","-0.5051064491271973","-0.5051064491271973"
"599","-0.4000532329082489","-0.4000532329082489","-0.4000532329082489"
"601","-1.1414225101470947","-1.1414225101470947","-1.1414225101470947"
"603","-1.0820369720458984","-1.0820369720458984","-1.0820369720458984"
"605","-1.1237128973007202","-1.1237128973007202","-1.1237128973007202"
"607","-1.3006986379623413","-1.3006986379623413","-1.3006986379623413"
"609","-0.7147684693336487","-0.7147684693336487","-0.7147684693336487"
"623","-0.9479763507843018","-0.9479763507843018","-0.9479763507843018"
"631","-1.444254755973816","-1.444254755973816","-1.444254755973816"
"633","-0.9220532178878784","-0.9220532178878784","-0.9220532178878784"
"635","-1.2357157468795776","-1.2357157468795776","-1.2357157468795776"
"639","-1.6964373588562012","-1.6964373588562012","-1.6964373588562012"
"641","-1.209096074104309","-1.209096074104309","-1.209096074104309"
"645","-1.0404835939407349","-1.0404835939407349","-1.0404835939407349"
"655","-1.0908176898956299","-1.0908176898956299","-1.0908176898956299"
"657","-1.5166690349578857","-1.5166690349578857","-1.5166690349578857"
"661","-1.3102715015411377","-1.3102715015411377","-1.3102715015411377"
"663","-1.2773730754852295","-1.2773730754852295","-1.2773730754852295"
"665","-0.8697597980499268","-0.8697597980499268","-0.8697597980499268"
"667","-1.1604450941085815","-1.1604450941085815","-1.1604450941085815"
"669","-1.2738721370697021","-1.2738721370697021","-1.2738721370697021"
"671","-1.2432339191436768","-1.2432339191436768","-1.2432339191436768"
"673","-1.170882225036621","-1.170882225036621","-1.170882225036621"
"675","-1.313603162765503","-1.313603162765503","-1.313603162765503"
"679","-0.8259955644607544","-0.8259955644607544","-0.8259955644607544"
"683","-0.9566032290458679","-0.9566032290458679","-0.9566032290458679"
"685","-0.8703858256340027","-0.8703858256340027","-0.8703858256340027"
"687","-0.9752140641212463","-0.9752140641212463","-0.9752140641212463"
"695","-0.7478739023208618","-0.7478739023208618","-0.7478739023208618"
"701","-0.8465835452079773","-0.8465835452079773","-0.8465835452079773"
"707","-1.7530107498168945","-1.7530107498168945","-1.7530107498168945"
"709","-1.1098992824554443","-1.1098992824554443","-1.1098992824554443"
"713","-0.9210647344589233","-0.9210647344589233","-0.9210647344589233"
"715","-0.8729010224342346","-0.8729010224342346","-0.8729010224342346"
"717","-0.6097975969314575","-0.6097975969314575","-0.6097975969314575"
"719","-1.0608419179916382","-1.0608419179916382","-1.0608419179916382"
"725","-1.0614324808120728","-1.0614324808120728","-1.0614324808120728"
"729","-0.6433446407318115","-0.6433446407318115","-0.6433446407318115"
"731","-1.045466423034668","-1.045466423034668","-1.045466423034668"
"737","-1.0229389667510986","-1.0229389667510986","-1.0229389667510986"
"741","-1.0259361267089844","-1.0259361267089844","-1.0259361267089844"
"745","-1.1152782440185547","-1.1152782440185547","-1.1152782440185547"
"747","-1.9319883584976196","-1.9319883584976196","-1.9319883584976196"
"749","-0.8332191109657288","-0.8332191109657288","-0.8332191109657288"
"753","-1.082617998123169","-1.082617998123169","-1.082617998123169"
"757","-0.8902559876441956","-0.8902559876441956","-0.8902559876441956"
"759","-1.7436203956604004","-1.7436203956604004","-1.7436203956604004"
"767","-1.976341962814331","-1.976341962814331","-1.976341962814331"
"769","-1.7923473119735718","-1.7923473119735718","-1.7923473119735718"
"771","-0.7768780589103699","-0.7768780589103699","-0.7768780589103699"
"775","-0.9108818173408508","-0.9108818173408508","-0.9108818173408508"
"781","-1.777329921722412","-1.777329921722412","-1.777329921722412"
"785","-0.6134759783744812","-0.6134759783744812","-0.6134759783744812"
"789","-0.791526734828949","-0.791526734828949","-0.791526734828949"
"791","-1.4177825450897217","-1.4177825450897217","-1.4177825450897217"
"797","-1.1606179475784302","-1.1606179475784302","-1.1606179475784302"
"799","-1.3916170597076416","-1.3916170597076416","-1.3916170597076416"
"801","-1.0812251567840576","-1.0812251567840576","-1.0812251567840576"
"803","-1.939217209815979","-1.939217209815979","-1.939217209815979"
"811","-1.3963512182235718","-1.3963512182235718","-1.3963512182235718"
"815","-1.045069932937622","-1.045069932937622","-1.045069932937622"
"817","-1.4231021404266357","-1.4231021404266357","-1.4231021404266357"
"823","-1.0298181772232056","-1.0298181772232056","-1.0298181772232056"
"825","-1.0477912425994873","-1.0477912425994873","-1.0477912425994873"
"831","-0.6443946361541748","-0.6443946361541748","-0.6443946361541748"
"833","-1.1017606258392334","-1.1017606258392334","-1.1017606258392334"
"835","-0.9188495874404907","-0.9188495874404907","-0.9188495874404907"
"837","-0.8651537895202637","-0.8651537895202637","-0.8651537895202637"
"839","-0.4317559599876404","-0.4317559599876404","-0.4317559599876404"
"841","-1.3204289674758911","-1.3204289674758911","-1.3204289674758911"
"843","-0.842275857925415","-0.842275857925415","-0.842275857925415"
"849","-1.5864557027816772","-1.5864557027816772","-1.5864557027816772"
"851","-1.4858808517456055","-1.4858808517456055","-1.4858808517456055"
"855","-1.0543235540390015","-1.0543235540390015","-1.0543235540390015"
"861","-1.267364263534546","-1.267364263534546","-1.267364263534546"
"863","-0.8632135391235352","-0.8632135391235352","-0.8632135391235352"
"865","-0.8428751826286316","-0.8428751826286316","-0.8428751826286316"
"867","-1.1212644577026367","-1.1212644577026367","-1.1212644577026367"
"869","-1.1378934383392334","-1.1378934383392334","-1.1378934383392334"
"871","-0.7606884241104126","-0.7606884241104126","-0.7606884241104126"
"877","-1.0080897808074951","-1.0080897808074951","-1.0080897808074951"
"879","-0.7599311470985413","-0.7599311470985413","-0.7599311470985413"
"887","-1.0139682292938232","-1.0139682292938232","-1.0139682292938232"
"889","-0.9197126626968384","-0.9197126626968384","-0.9197126626968384"
"891","-1.3630772829055786","-1.3630772829055786","-1.3630772829055786"
"893","-1.3169676065444946","-1.3169676065444946","-1.3169676065444946"
"899","-1.2264423370361328","-1.2264423370361328","-1.2264423370361328"
"909","-0.8260977864265442","-0.8260977864265442","-0.8260977864265442"
"913","-1.9212031364440918","-1.9212031364440918","-1.9212031364440918"
"927","-0.6666159629821777","-0.6666159629821777","-0.6666159629821777"
"929","-0.7581261992454529","-0.7581261992454529","-0.7581261992454529"
"931","-0.8695375919342041","-0.8695375919342041","-0.8695375919342041"
"943","-0.8598164319992065","-0.8598164319992065","-0.8598164319992065"
"947","-1.0156469345092773","-1.0156469345092773","-1.0156469345092773"
"963","-0.5968633890151978","-0.5968633890151978","-0.5968633890151978"
"965","-0.8470829725265503","-0.8470829725265503","-0.8470829725265503"
"969","-0.535056471824646","-0.535056471824646","-0.535056471824646"
"975","-0.8407350182533264","-0.8407350182533264","-0.8407350182533264"
"977","-0.8219990730285645","-0.8219990730285645","-0.8219990730285645"
"979","-1.1094988584518433","-1.1094988584518433","-1.1094988584518433"
"983","-0.651883602142334","-0.651883602142334","-0.651883602142334"
"1007","-1.530882716178894","-1.530882716178894","-1.530882716178894"
"1011","-0.7309300899505615","-0.7309300899505615","-0.7309300899505615"
"1019","-0.9221585988998413","-0.9221585988998413","-0.9221585988998413"
