"Step","resilient-blaze-9 - Smallest CBF value","resilient-blaze-9 - Smallest CBF value__MIN","resilient-blaze-9 - Smallest CBF value__MAX"
"999","-0.24817948043346405","-0.24817948043346405","-0.24817948043346405"
"1005","-0.21768352389335632","-0.21768352389335632","-0.21768352389335632"
"1009","-0.23436246812343597","-0.23436246812343597","-0.23436246812343597"
"1013","-0.31190136075019836","-0.31190136075019836","-0.31190136075019836"
"1015","-0.208072692155838","-0.208072692155838","-0.208072692155838"
"1021","-0.21869009733200073","-0.21869009733200073","-0.21869009733200073"
"1027","-0.33437374234199524","-0.33437374234199524","-0.33437374234199524"
"1029","-0.2647068202495575","-0.2647068202495575","-0.2647068202495575"
"1031","-0.29427850246429443","-0.29427850246429443","-0.29427850246429443"
"1039","-0.24443262815475464","-0.24443262815475464","-0.24443262815475464"
"1041","-0.25457116961479187","-0.25457116961479187","-0.25457116961479187"
"1043","-0.28112855553627014","-0.28112855553627014","-0.28112855553627014"
"1049","-0.33287477493286133","-0.33287477493286133","-0.33287477493286133"
"1055","-0.3294336199760437","-0.3294336199760437","-0.3294336199760437"
"1059","-0.29379844665527344","-0.29379844665527344","-0.29379844665527344"
"1061","-0.18688862025737762","-0.18688862025737762","-0.18688862025737762"
"1063","-0.18617013096809387","-0.18617013096809387","-0.18617013096809387"
"1065","-0.20054398477077484","-0.20054398477077484","-0.20054398477077484"
"1067","-0.2585470974445343","-0.2585470974445343","-0.2585470974445343"
"1069","-0.25376367568969727","-0.25376367568969727","-0.25376367568969727"
"1071","-0.30683791637420654","-0.30683791637420654","-0.30683791637420654"
"1077","-0.23057018220424652","-0.23057018220424652","-0.23057018220424652"
"1085","-0.2594794034957886","-0.2594794034957886","-0.2594794034957886"
"1087","-0.3166317641735077","-0.3166317641735077","-0.3166317641735077"
"1089","-0.3621618449687958","-0.3621618449687958","-0.3621618449687958"
"1091","-0.17580945789813995","-0.17580945789813995","-0.17580945789813995"
"1097","-0.21378184854984283","-0.21378184854984283","-0.21378184854984283"
"1103","-0.25188565254211426","-0.25188565254211426","-0.25188565254211426"
"1105","-0.2163407802581787","-0.2163407802581787","-0.2163407802581787"
"1107","-0.25004756450653076","-0.25004756450653076","-0.25004756450653076"
"1111","-0.24934132397174835","-0.24934132397174835","-0.24934132397174835"
"1117","-0.25133055448532104","-0.25133055448532104","-0.25133055448532104"
"1119","-0.24843066930770874","-0.24843066930770874","-0.24843066930770874"
"1123","-0.3170154094696045","-0.3170154094696045","-0.3170154094696045"
"1131","-0.21023161709308624","-0.21023161709308624","-0.21023161709308624"
"1133","-0.2596864700317383","-0.2596864700317383","-0.2596864700317383"
"1135","-0.2464703470468521","-0.2464703470468521","-0.2464703470468521"
"1139","-0.23424606025218964","-0.23424606025218964","-0.23424606025218964"
"1141","-0.28901800513267517","-0.28901800513267517","-0.28901800513267517"
"1147","-0.21862483024597168","-0.21862483024597168","-0.21862483024597168"
"1149","-0.1854495406150818","-0.1854495406150818","-0.1854495406150818"
"1155","-0.23776742815971375","-0.23776742815971375","-0.23776742815971375"
