"Step","resilient-blaze-9 - rewards/step","resilient-blaze-9 - rewards/step__MIN","resilient-blaze-9 - rewards/step__MAX"
"21912","297.5158386230469","297.5158386230469","297.5158386230469"
"22209","276.1727600097656","276.1727600097656","276.1727600097656"
"22213","293.49334716796875","293.49334716796875","293.49334716796875"
"22238","405.00347900390625","405.00347900390625","405.00347900390625"
"22555","361.1346130371094","361.1346130371094","361.1346130371094"
"22559","405.5135498046875","405.5135498046875","405.5135498046875"
"22869","435.5245361328125","435.5245361328125","435.5245361328125"
"22873","481.322265625","481.322265625","481.322265625"
"22885","446.6155700683594","446.6155700683594","446.6155700683594"
"23207","424.7727966308594","424.7727966308594","424.7727966308594"
"23211","419.1082458496094","419.1082458496094","419.1082458496094"
"23529","434.0841369628906","434.0841369628906","434.0841369628906"
"23533","506.12841796875","506.12841796875","506.12841796875"
"23796","579.7582397460938","579.7582397460938","579.7582397460938"
"23800","530.4505615234375","530.4505615234375","530.4505615234375"
"23860","494.61346435546875","494.61346435546875","494.61346435546875"
"24178","479.752685546875","479.752685546875","479.752685546875"
"24182","498.1463317871094","498.1463317871094","498.1463317871094"
"24458","485.2625732421875","485.2625732421875","485.2625732421875"
"24462","530.4575805664062","530.4575805664062","530.4575805664062"
"24509","563.1077270507812","563.1077270507812","563.1077270507812"
"24828","613.6094360351562","613.6094360351562","613.6094360351562"
"24832","631.18310546875","631.18310546875","631.18310546875"
"25120","575.4085693359375","575.4085693359375","575.4085693359375"
"25124","609.021484375","609.021484375","609.021484375"
"25160","586.9901733398438","586.9901733398438","586.9901733398438"
"25478","645.1396484375","645.1396484375","645.1396484375"
"25482","633.09326171875","633.09326171875","633.09326171875"
"25782","646.0184326171875","646.0184326171875","646.0184326171875"
"25786","669.8472290039062","669.8472290039062","669.8472290039062"
"25808","649.6347045898438","649.6347045898438","649.6347045898438"
"26127","659.3724365234375","659.3724365234375","659.3724365234375"
"26131","656.7503662109375","656.7503662109375","656.7503662109375"
"26442","673.8765258789062","673.8765258789062","673.8765258789062"
"26446","695.6856689453125","695.6856689453125","695.6856689453125"
"26455","685.2552490234375","685.2552490234375","685.2552490234375"
"26778","665.9297485351562","665.9297485351562","665.9297485351562"
"26782","700.7777099609375","700.7777099609375","700.7777099609375"
"27101","698.4729614257812","698.4729614257812","698.4729614257812"
"27105","732.4722290039062","732.4722290039062","732.4722290039062"
"27370","700.9051513671875","700.9051513671875","700.9051513671875"
"27374","731.6344604492188","731.6344604492188","731.6344604492188"
"27428","719.7718505859375","719.7718505859375","719.7718505859375"
"27746","739.0111694335938","739.0111694335938","739.0111694335938"
"27750","738.9222412109375","738.9222412109375","738.9222412109375"
"28033","798.9595336914062","798.9595336914062","798.9595336914062"
"28037","704.4241333007812","704.4241333007812","704.4241333007812"
"28080","790.4888305664062","790.4888305664062","790.4888305664062"
"28399","793.6257934570312","793.6257934570312","793.6257934570312"
"28403","800.615478515625","800.615478515625","800.615478515625"
"28692","793.0623168945312","793.0623168945312","793.0623168945312"
"28696","785.5258178710938","785.5258178710938","785.5258178710938"
"28730","795.6024780273438","795.6024780273438","795.6024780273438"
"29048","740.1566772460938","740.1566772460938","740.1566772460938"
"29052","795.6608276367188","795.6608276367188","795.6608276367188"
"29352","792.4558715820312","792.4558715820312","792.4558715820312"
"29356","782.9569091796875","782.9569091796875","782.9569091796875"
"29379","809.0859375","809.0859375","809.0859375"
"29699","821.3956298828125","821.3956298828125","821.3956298828125"
"29703","825.0416870117188","825.0416870117188","825.0416870117188"
"30018","855.6219482421875","855.6219482421875","855.6219482421875"
"30022","821.2883911132812","821.2883911132812","821.2883911132812"
"30029","806.8822631835938","806.8822631835938","806.8822631835938"
"30348","804.7621459960938","804.7621459960938","804.7621459960938"
"30352","828.9993286132812","828.9993286132812","828.9993286132812"
"30671","811.5807495117188","811.5807495117188","811.5807495117188"
"30675","781.5723266601562","781.5723266601562","781.5723266601562"
"30945","790.3043823242188","790.3043823242188","790.3043823242188"
"30949","856.4400634765625","856.4400634765625","856.4400634765625"
"31006","833.5771484375","833.5771484375","833.5771484375"
"31325","812.2145385742188","812.2145385742188","812.2145385742188"
"31329","818.3131103515625","818.3131103515625","818.3131103515625"
"31606","856.4453735351562","856.4453735351562","856.4453735351562"
"31610","815.556884765625","815.556884765625","815.556884765625"
"31656","812.373046875","812.373046875","812.373046875"
"31971","832.9556274414062","832.9556274414062","832.9556274414062"
"31975","794.7838745117188","794.7838745117188","794.7838745117188"
"32268","842.2595825195312","842.2595825195312","842.2595825195312"
"32272","860.727783203125","860.727783203125","860.727783203125"
"32305","814.698486328125","814.698486328125","814.698486328125"
"32624","845.349365234375","845.349365234375","845.349365234375"
"32628","852.4141235351562","852.4141235351562","852.4141235351562"
"32930","854.1624755859375","854.1624755859375","854.1624755859375"
"32934","795.7481689453125","795.7481689453125","795.7481689453125"
"32954","867.5693359375","867.5693359375","867.5693359375"
"33270","862.1261596679688","862.1261596679688","862.1261596679688"
"33274","846.0804443359375","846.0804443359375","846.0804443359375"
"33594","835.9464721679688","835.9464721679688","835.9464721679688"
"33598","814.601806640625","814.601806640625","814.601806640625"
"33604","852.3939819335938","852.3939819335938","852.3939819335938"
"33921","860.2409057617188","860.2409057617188","860.2409057617188"
"33925","840.2147216796875","840.2147216796875","840.2147216796875"
"34236","837.580078125","837.580078125","837.580078125"
"34240","855.27685546875","855.27685546875","855.27685546875"
"34518","851.8206787109375","851.8206787109375","851.8206787109375"
"34522","850.0419921875","850.0419921875","850.0419921875"
"34566","858.7225341796875","858.7225341796875","858.7225341796875"
"34888","869.4644165039062","869.4644165039062","869.4644165039062"
"34892","830.8292846679688","830.8292846679688","830.8292846679688"
"35182","869.8786010742188","869.8786010742188","869.8786010742188"
"35186","875.5181274414062","875.5181274414062","875.5181274414062"
"35218","852.5248413085938","852.5248413085938","852.5248413085938"
"35538","847.171875","847.171875","847.171875"
"35542","837.4888305664062","837.4888305664062","837.4888305664062"
"35845","849.4921875","849.4921875","849.4921875"
"35849","860.2562866210938","860.2562866210938","860.2562866210938"
"35871","853.7498779296875","853.7498779296875","853.7498779296875"
"36188","824.2110595703125","824.2110595703125","824.2110595703125"
"36192","858.875244140625","858.875244140625","858.875244140625"
"36504","847.9098510742188","847.9098510742188","847.9098510742188"
"36508","880.6829223632812","880.6829223632812","880.6829223632812"
"36512","849.8463134765625","849.8463134765625","849.8463134765625"
"36824","864.1405029296875","864.1405029296875","864.1405029296875"
"36828","827.5376586914062","827.5376586914062","827.5376586914062"
"37144","879.782470703125","879.782470703125","879.782470703125"
"37148","874.0455932617188","874.0455932617188","874.0455932617188"
"37434","856.8402099609375","856.8402099609375","856.8402099609375"
"37438","885.5572509765625","885.5572509765625","885.5572509765625"
"37473","859.557373046875","859.557373046875","859.557373046875"
"37790","831.8792724609375","831.8792724609375","831.8792724609375"
"37794","855.0679321289062","855.0679321289062","855.0679321289062"
"38093","882.1722412109375","882.1722412109375","882.1722412109375"
"38097","871.3613891601562","871.3613891601562","871.3613891601562"
"38119","898.9970092773438","898.9970092773438","898.9970092773438"
"38442","874.6878051757812","874.6878051757812","874.6878051757812"
"38446","843.7874145507812","843.7874145507812","843.7874145507812"
"38758","885.197998046875","885.197998046875","885.197998046875"
"38762","865.0595092773438","865.0595092773438","865.0595092773438"
"38771","881.4818725585938","881.4818725585938","881.4818725585938"
