"Step","rare-brook-31 - CBF constraint(unfiltered)","rare-brook-31 - CBF constraint(unfiltered)__MIN","rare-brook-31 - CBF constraint(unfiltered)__MAX"
"2265","-0.005213479045778513","-0.005213479045778513","-0.005213479045778513"
"2267","-0.0014463411644101143","-0.0014463411644101143","-0.0014463411644101143"
"2273","-0.0020115107763558626","-0.0020115107763558626","-0.0020115107763558626"
"2279","-0.013584921136498451","-0.013584921136498451","-0.013584921136498451"
"2291","-0.008260425180196762","-0.008260425180196762","-0.008260425180196762"
"2297","-0.005080725997686386","-0.005080725997686386","-0.005080725997686386"
"2311","-0.016564972698688507","-0.016564972698688507","-0.016564972698688507"
"2317","-0.008230543695390224","-0.008230543695390224","-0.008230543695390224"
"2331","-0.004409598186612129","-0.004409598186612129","-0.004409598186612129"
"2345","-0.00818160455673933","-0.00818160455673933","-0.00818160455673933"
"2349","-0.004222269169986248","-0.004222269169986248","-0.004222269169986248"
"2355","-0.002799316542223096","-0.002799316542223096","-0.002799316542223096"
"2357","-0.006705120671540499","-0.006705120671540499","-0.006705120671540499"
"2359","-0.004400246776640415","-0.004400246776640415","-0.004400246776640415"
"2363","-0.006761940196156502","-0.006761940196156502","-0.006761940196156502"
"2365","-0.0010611179750412703","-0.0010611179750412703","-0.0010611179750412703"
"2373","-0.0033564954064786434","-0.0033564954064786434","-0.0033564954064786434"
"2391","-0.002326064510270953","-0.002326064510270953","-0.002326064510270953"
"2397","-0.002717103809118271","-0.002717103809118271","-0.002717103809118271"
"2405","-0.0018965840572491288","-0.0018965840572491288","-0.0018965840572491288"
"2409","-0.0009304657578468323","-0.0009304657578468323","-0.0009304657578468323"
"2411","-0.005196700803935528","-0.005196700803935528","-0.005196700803935528"
"2417","-0.0024985212367028","-0.0024985212367028","-0.0024985212367028"
"2427","-0.0006199617637321353","-0.0006199617637321353","-0.0006199617637321353"
"2431","-0.005203507840633392","-0.005203507840633392","-0.005203507840633392"
"2445","-0.005008160602301359","-0.005008160602301359","-0.005008160602301359"
"2459","-0.008079822175204754","-0.008079822175204754","-0.008079822175204754"
"2461","-0.00715766754001379","-0.00715766754001379","-0.00715766754001379"
"2471","-0.009395545348525047","-0.009395545348525047","-0.009395545348525047"
"2479","-0.005724230781197548","-0.005724230781197548","-0.005724230781197548"
"2481","-0.004007977433502674","-0.004007977433502674","-0.004007977433502674"
"2483","-0.0032970216125249863","-0.0032970216125249863","-0.0032970216125249863"
"2495","-0.0025764568708837032","-0.0025764568708837032","-0.0025764568708837032"
"2497","-0.01042360533028841","-0.01042360533028841","-0.01042360533028841"
"2501","-0.01483218278735876","-0.01483218278735876","-0.01483218278735876"
"2535","-0.008487832732498646","-0.008487832732498646","-0.008487832732498646"
"2537","-0.005110465455800295","-0.005110465455800295","-0.005110465455800295"
"2543","-0.005015335977077484","-0.005015335977077484","-0.005015335977077484"
"2547","-0.007502548862248659","-0.007502548862248659","-0.007502548862248659"
"2549","-0.005271300673484802","-0.005271300673484802","-0.005271300673484802"
"2551","-0.008070278912782669","-0.008070278912782669","-0.008070278912782669"
"2571","-0.006294590421020985","-0.006294590421020985","-0.006294590421020985"
"2587","-0.006132747977972031","-0.006132747977972031","-0.006132747977972031"
"2591","-0.012892095372080803","-0.012892095372080803","-0.012892095372080803"
