"Step","rare-brook-31 - rewards/iter","rare-brook-31 - rewards/iter__MIN","rare-brook-31 - rewards/iter__MAX"
"47936","787.9041748046875","787.9041748046875","787.9041748046875"
"48250","860.7074584960938","860.7074584960938","860.7074584960938"
"48254","789.5469360351562","789.5469360351562","789.5469360351562"
"48558","794.5164794921875","794.5164794921875","794.5164794921875"
"48562","790.1868286132812","790.1868286132812","790.1868286132812"
"48582","799.5797729492188","799.5797729492188","799.5797729492188"
"48896","827.7318725585938","827.7318725585938","827.7318725585938"
"48900","778.001220703125","778.001220703125","778.001220703125"
"49214","784.4949340820312","784.4949340820312","784.4949340820312"
"49218","839.700439453125","839.700439453125","839.700439453125"
"49482","814.4981689453125","814.4981689453125","814.4981689453125"
"49486","794.9431762695312","794.9431762695312","794.9431762695312"
"49542","788.9129028320312","788.9129028320312","788.9129028320312"
"49864","836.3720092773438","836.3720092773438","836.3720092773438"
"49868","828.2813110351562","828.2813110351562","828.2813110351562"
"50146","846.445556640625","846.445556640625","846.445556640625"
"50150","813.0875854492188","813.0875854492188","813.0875854492188"
"50188","794.1773071289062","794.1773071289062","794.1773071289062"
"50504","771.9989013671875","771.9989013671875","771.9989013671875"
"50508","826.9283447265625","826.9283447265625","826.9283447265625"
"50806","830.0556640625","830.0556640625","830.0556640625"
"50810","870.0487060546875","870.0487060546875","870.0487060546875"
"50832","845.0687255859375","845.0687255859375","845.0687255859375"
"51152","800.9657592773438","800.9657592773438","800.9657592773438"
"51156","811.91796875","811.91796875","811.91796875"
"51470","831.6255493164062","831.6255493164062","831.6255493164062"
"51474","856.756103515625","856.756103515625","856.756103515625"
"51480","855.0059204101562","855.0059204101562","855.0059204101562"
"51796","821.5467529296875","821.5467529296875","821.5467529296875"
"51800","817.8176879882812","817.8176879882812","817.8176879882812"
"52118","796.4310913085938","796.4310913085938","796.4310913085938"
"52122","814.577880859375","814.577880859375","814.577880859375"
"52400","819.474853515625","819.474853515625","819.474853515625"
"52404","797.621337890625","797.621337890625","797.621337890625"
"52444","804.5592651367188","804.5592651367188","804.5592651367188"
"52758","793.0838623046875","793.0838623046875","793.0838623046875"
"52762","825.238525390625","825.238525390625","825.238525390625"
