"Step","restful-aardvark-1 - Smallest CBF value","restful-aardvark-1 - Smallest CBF value__MIN","restful-aardvark-1 - Smallest CBF value__MAX"
"414","-0.24596033990383148","-0.24596033990383148","-0.24596033990383148"
"416","-0.21619336307048798","-0.21619336307048798","-0.21619336307048798"
"418","-0.24188865721225739","-0.24188865721225739","-0.24188865721225739"
"420","-0.28755879402160645","-0.28755879402160645","-0.28755879402160645"
"422","-0.2776315212249756","-0.2776315212249756","-0.2776315212249756"
"424","-0.32304468750953674","-0.32304468750953674","-0.32304468750953674"
"426","-0.3037432134151459","-0.3037432134151459","-0.3037432134151459"
"428","-0.29669514298439026","-0.29669514298439026","-0.29669514298439026"
"430","-0.2632367014884949","-0.2632367014884949","-0.2632367014884949"
"432","-0.31352731585502625","-0.31352731585502625","-0.31352731585502625"
"434","-0.24111400544643402","-0.24111400544643402","-0.24111400544643402"
"436","-0.24369263648986816","-0.24369263648986816","-0.24369263648986816"
"438","-0.27386099100112915","-0.27386099100112915","-0.27386099100112915"
"440","-0.2836446464061737","-0.2836446464061737","-0.2836446464061737"
"442","-0.29190579056739807","-0.29190579056739807","-0.29190579056739807"
"444","-0.3240480422973633","-0.3240480422973633","-0.3240480422973633"
"446","-0.287070631980896","-0.287070631980896","-0.287070631980896"
"448","-0.2573695778846741","-0.2573695778846741","-0.2573695778846741"
"450","-0.28937238454818726","-0.28937238454818726","-0.28937238454818726"
"452","-0.2826170027256012","-0.2826170027256012","-0.2826170027256012"
"454","-0.2878507077693939","-0.2878507077693939","-0.2878507077693939"
"456","-0.2857399582862854","-0.2857399582862854","-0.2857399582862854"
"458","-0.3259734511375427","-0.3259734511375427","-0.3259734511375427"
"460","-0.32640859484672546","-0.32640859484672546","-0.32640859484672546"
"462","-0.26841652393341064","-0.26841652393341064","-0.26841652393341064"
"464","-0.2800348103046417","-0.2800348103046417","-0.2800348103046417"
"466","-0.24122533202171326","-0.24122533202171326","-0.24122533202171326"
"468","-0.2114465981721878","-0.2114465981721878","-0.2114465981721878"
"470","-0.2672273516654968","-0.2672273516654968","-0.2672273516654968"
"472","-0.3078882396221161","-0.3078882396221161","-0.3078882396221161"
"474","-0.2652652859687805","-0.2652652859687805","-0.2652652859687805"
"476","-0.2629806697368622","-0.2629806697368622","-0.2629806697368622"
"478","-0.22677546739578247","-0.22677546739578247","-0.22677546739578247"
"480","-0.2648603916168213","-0.2648603916168213","-0.2648603916168213"
"482","-0.2420930415391922","-0.2420930415391922","-0.2420930415391922"
"484","-0.28729113936424255","-0.28729113936424255","-0.28729113936424255"
"486","-0.21576513350009918","-0.21576513350009918","-0.21576513350009918"
"488","-0.3278067708015442","-0.3278067708015442","-0.3278067708015442"
"490","-0.2534537613391876","-0.2534537613391876","-0.2534537613391876"
"492","-0.2623944878578186","-0.2623944878578186","-0.2623944878578186"
"494","-0.276691734790802","-0.276691734790802","-0.276691734790802"
"496","-0.2829594612121582","-0.2829594612121582","-0.2829594612121582"
"498","-0.31215235590934753","-0.31215235590934753","-0.31215235590934753"
"500","-0.3401367962360382","-0.3401367962360382","-0.3401367962360382"
"502","-0.26229801774024963","-0.26229801774024963","-0.26229801774024963"
"504","-0.31246206164360046","-0.31246206164360046","-0.31246206164360046"
"506","-0.2817927300930023","-0.2817927300930023","-0.2817927300930023"
"508","-0.2780124247074127","-0.2780124247074127","-0.2780124247074127"
"510","-0.31523847579956055","-0.31523847579956055","-0.31523847579956055"
"512","-0.2460445910692215","-0.2460445910692215","-0.2460445910692215"
"514","-0.26323792338371277","-0.26323792338371277","-0.26323792338371277"
"516","-0.23771199584007263","-0.23771199584007263","-0.23771199584007263"
"518","-0.29799750447273254","-0.29799750447273254","-0.29799750447273254"
"520","-0.27127495408058167","-0.27127495408058167","-0.27127495408058167"
